Date,Rainfall (mm),Level (Metres),E Conduct. (us/cm),Water Temp (Deg. C),pH (pH units),Turbidity (NTU),Number of fish
00:00:00 01/01/2010,0,0.853,1196,26.8,4.7,130.58333,4
00:00:00 02/01/2010,0,0.737,1070,27.4,4.8,248.29167,0
00:00:00 03/01/2010,0,0.64,1081,28.7,4.7,163.33333,0
00:00:00 04/01/2010,0,0.571,1091,28.3,4.7,192.83333,3
00:00:00 05/01/2010,7,0.531,1138,27.5,4.8,246.04167,0
00:00:00 06/01/2010,5,0.505,1202,27.2,4.9,206.58333,0
00:00:00 07/01/2010,15,0.524,1562,26.7,5.9,202.33333,0
00:00:00 08/01/2010,5,0.584,1596,26,5.8,174.16667,0
00:00:00 09/01/2010,0,0.789,2127,27.3,4.4,435.20833,2
00:00:00 10/01/2010,0,0.742,1831,27.9,5.1,275.25,1
00:00:00 11/01/2010,0,0.646,1638,28.2,5.4,270.79167,0
00:00:00 12/01/2010,0,0.589,1654,28.3,5.3,184.54167,0
00:00:00 13/01/2010,0,0.537,1670,28.2,5.2,135.83333,0
00:00:00 14/01/2010,0,0.5,1694,28.1,5.6,298.66667,13
00:00:00 15/01/2010,0,0.475,1672,27.7,6.2,125.54167,1
00:00:00 16/01/2010,0,0.461,1611,27.2,6.5,113.29167,0
00:00:00 17/01/2010,0,0.453,1553,27.6,6.6,120.16667,0
00:00:00 18/01/2010,0,0.446,1505,27.7,6.7,141.54167,0
00:00:00 19/01/2010,0,0.44,1456,27.9,6.7,194.08333,4
00:00:00 20/01/2010,0,0.435,1432,27.2,6.8,226.33333,0
00:00:00 21/01/2010,0,0.432,1407,27.7,6.8,332.125,0
00:00:00 22/01/2010,0,0.429,1380,27.3,6.8,162.25,6
00:00:00 23/01/2010,0,0.427,1361,27.2,6.8,243,0
00:00:00 24/01/2010,0,0.426,1338,26.9,6.8,184.66667,4
00:00:00 25/01/2010,0,0.425,1313,26.8,6.8,209.5,0
00:00:00 26/01/2010,0,0.425,1304,27.1,6.8,147.41667,0
00:00:00 27/01/2010,0,0.424,1293,27.5,6.8,267.75,0
00:00:00 28/01/2010,0,0.423,1274,27.6,6.9,176.79167,0
00:00:00 29/01/2010,0,0.423,1259,27,6.9,129.25,0
00:00:00 30/01/2010,1,0.423,1233,27.2,6.8,99.54167,0
00:00:00 31/01/2010,15,0.436,1206,25.9,6.9,154.41667,0
00:00:00 01/02/2010,76,3.045,660,24.9,7.2,367.95833,0
00:00:00 02/02/2010,5,4.83,236,24,7.5,260.70833,0
00:00:00 03/02/2010,1,2.768,294,23.9,6.9,171.41667,0
00:00:00 04/02/2010,2,2.27,339,24.5,6.6,315.66667,0
00:00:00 05/02/2010,0,1.948,355,25.7,6.6,361.125,0
00:00:00 06/02/2010,0,1.883,339,26.4,6.6,326.95833,0
00:00:00 07/02/2010,7,2.143,345,26.5,6.7,574.70833,0
00:00:00 08/02/2010,13,2.378,262,25.7,7.1,328.20833,0
00:00:00 09/02/2010,0,2.036,279,26,7.3,189.45833,0 
00:00:00 10/02/2010,0,1.454,336,26.7,7,173.41667,0 
00:00:00 11/02/2010,0,1.22,378,26.7,7,216.95833,0 
00:00:00 12/02/2010,0,1.104,405,27.4,6.9,168.5,0 
00:00:00 13/02/2010,0,0.993,437,27.7,6.9,169.75,0 
00:00:00 14/02/2010,6,0.907,464,28.1,6.9,167.25,0 
00:00:00 15/02/2010,1,0.853,479,28.8,6.9,136.91667,0 
00:00:00 16/02/2010,45,1.891,360,28.1,7.3,223.66667,0 
00:00:00 17/02/2010,57,2.671,305,26,7.2,267.16667,0 
00:00:00 18/02/2010,15,2.213,284,25.8,7.2,260.70833,0 
00:00:00 19/02/2010,1,2.592,302,25.3,7.1,340.16667,0 
00:00:00 20/02/2010,0,1.734,330,25.4,7.1,297.45833,0 
00:00:00 21/02/2010,0,1.409,384,25.9,6.9,223.875,0 
00:00:00 22/02/2010,0,1.228,422,26.7,6.7,152.66667,0 
00:00:00 23/02/2010,0,1.103,450,28.2,6.7,163.08333,0 
00:00:00 24/02/2010,0,1.007,484,29.1,6.8,162.5,0 
00:00:00 25/02/2010,0,0.938,523,27.7,6.8,148.75,0 
00:00:00 26/02/2010,0,0.9,551,26.8,6.8,196.79167,0 
00:00:00 27/02/2010,0,0.848,564,27.3,6.9,330.75,0 
00:00:00 28/02/2010,0,0.799,583,27.8,6.9,578.16667,0 
00:00:00 01/03/2010,0,0.946,488,27.8,7.2,506.29167,0 
00:00:00 02/03/2010,30,1.047,519,27.7,7.4,432.25,0 
00:00:00 03/03/2010,1,1.816,347,26.6,7.5,479.75,0 
00:00:00 04/03/2010,0,1.181,401,27.4,7,383.375,0 
00:00:00 05/03/2010,0,1.024,469,27.4,7,406.70833,0 
00:00:00 06/03/2010,0,0.984,506,28.4,6.9,502.75,0 
00:00:00 07/03/2010,5,0.92,523,28.6,7,479.125,0 
00:00:00 08/03/2010,0,1.198,818,28.2,6,345.45833,0 
00:00:00 09/03/2010,0,1.087,597,28,6.6,248.75,0 
00:00:00 10/03/2010,0,1.081,499,28.2,7.2,184.54167,0 
00:00:00 11/03/2010,1,1.023,586,28.3,7.2,148.375,0 
00:00:00 12/03/2010,0,0.918,536,27.3,7.3,126.45833,0 
00:00:00 13/03/2010,0,0.851,539,26.4,7.3,129.125,0 
00:00:00 14/03/2010,0,0.806,547,26,7.4,120.20833,0 
00:00:00 15/03/2010,0,0.763,550,26.4,7.3,104.375,0 
00:00:00 16/03/2010,0,0.732,555,26.6,7.3,98.66667,0 
00:00:00 17/03/2010,0,0.697,565,26.6,7.2,99.58333,0 
00:00:00 18/03/2010,0,0.672,563,26.2,7.2,114.625,0 
00:00:00 19/03/2010,0,0.654,561,26.2,7.3,79.04167,0 
00:00:00 20/03/2010,0,0.642,552,25.7,7.3,70.79167,0 
00:00:00 21/03/2010,45,1.07,512,25.4,7.4,113,0 
